File;Source;Country;Date;Title;Link
2006_Nepal.pdf;IDMC;Nepal;10/06;Nepal: IDP Return Still a Trickle Despite Ceasefire;https://www.refworld.org/reference/countryrep/idmc/2006/en/40047?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=1&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-40047-en
2006_liberia.pdf;IDMC;liberia;08/06;Liberia: Key Challenge is Ensuring Sustainability of IDP Return;https://www.refworld.org/reference/countryrep/idmc/2006/en/17368?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=1&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-17368-en
2006_Sudan.pdf;IDMC;Sudan;08/06;Sudan: Slow IDP Return to South while Darfur Crisis Continues Unabated;https://www.refworld.org/reference/countryrep/idmc/2006/en/91887?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=1&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-91887-en
2006_DRC_b.pdf;IDMC;DRC;10/06;Democratic Republic of the Congo: IDP Return Picks Up Despite Glaring Lack of Reintegration Support;https://www.refworld.org/reference/countryrep/idmc/2006/en/38589?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=1&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-38589-en
2017_Afghanistan.pdf;IDMC;Afghanistan;12/17;"Going ""home"" to displacement; Afghanistan's returnee-IDPs";https://www.refworld.org/reference/countryrep/idmc/2017/en/118182?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=1&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-118182-en
2011_Chad.pdf;IDMC;Chad;06/11;Improvements in security allow for the return of some IDPs;https://www.refworld.org/reference/countryrep/idmc/2011/en/80749?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=1&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-80749-en
2007_Congo.pdf;IDMC;Congo;04/07;Congo: IDPs and Returnees Face Lack of Support;https://www.refworld.org/reference/countryrep/idmc/2007/en/40599?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=1&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-40599-en
2012_Uganda.pdf;IDMC;Uganda;05/12;Need to focus on returnees and remaining IDPs in transition to development;https://www.refworld.org/reference/countryrep/idmc/2012/en/86345?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=1&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-86345-en
2009_Pakistan.pdf;IDMC;Pakistan;12/09;Pakistan: Millions of IDPs and Returnees Face Continuing Crisis;https://www.refworld.org/reference/countryrep/idmc/2009/en/70907?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=1&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-70907-en
2009_Russian_Federation.pdf;IDMC;Russian Federation;10/09;Russian Federation: Monitoring of IDPs and Returnees Still Needed;https://www.refworld.org/reference/countryrep/idmc/2009/en/92050?prevDestination=search&prevPath=/search?keywords=IDP+return&order=desc&page=2&sm_document_source_name%5B%5D=Norwegian+Refugee+Council%2FInternal+Displacement+Monitoring+Centre+%28NRC%2FIDMC%29&sort=score&result=result-92050-en
