file,first_entry,report_page,true_page
1999,Afghanistan,27,35
2000,Afghanistan,25,33
2001,Afghanistan,25,33
2002,Afghanistan,25,33
2003,Afghanistan,145,152
2004,Afghanistan,35,48
2005,Afghanistan,51,62
2006,Afghanistan,47,5
2007,Afghanistan,45,59
2008,Afghanistan,55,71
2009,Afghanistan,55,78
2010,Afghanistan,55,81
2011,Afghanistan,55,75
2012,Afghanistan,17,29
2014,Afghanistan,50,58
2015,Afghanistan,60,60
2016,Afghanistan,58,58
2017,Afghanistan,66,66
2019_Africa,Angola,13,13
2019_Americas,Argentina,17,18
2019_Asia_Pacific,Afghanistan,7,7
2019_Eastern_Europ_Central_Asia,Armenia,6,6
2019_Middle_East_North_Africa,Algeria,12,12
2020,Afghanistan,58,58
2021,Afghanistan,64,64
2022,Afghanistan,64,64
2023,Afghanistan,70,70
