Country,First_Relevant_Year
Afghanistan,1999
Algeria,1999
Angola,1999
Azerbaijan,1999
Bangladesh,1999
Benin,2022
Bosnia and Herzegovina,1999
Burkina Faso,2018
Burundi,1999
Cambodia,1999
Cameroon,1999
CAR,2001
Chad,1999
China,2008
Colombia,1999
Comoros,1999
Congo,1999
Croatia,1999
DRC,1999
Djibouti,1999
Ecuador,1999
Egypt,1999
El Salvador,1999
Eritrea,1999
Ethiopia,1999
Georgia,1999
Guatemala,1999
Guinea,2000
Guinea-Bissau,1999
Haiti,1999
India,1999
Indonesia,1999
Iran,1999
Iraq,1999
Israel and Palestine,1999
Cote D'Ivoire,2002
Jordan,2016
Kenya,2015
Kuwait,1999
Kyrgyzstan,2021
Laos,1999
Lebanon,1999
Lesotho,1999
Liberia,1999
Libya,2011
Malaysia,2013
Mali,1999
Mauritania,2010
Mexico,1999
Moldova,1999
Mozambique,1999
Myanmar,1999
Nepal,1999
Nicaragua,1999
Niger,1999
Nigeria,1999
North Macedonia,2001
Pakistan,1999
Papua New Guinea,1999
Peru,1999
Philippines,1999
Russia,1999
Rwanda,1999
Senegal,1999
Serbia,1999
Sierra Leone,1999
Somalia,1999
South Sudan,2011
Spain,1999
Sri Lanka,1999
Sudan,1999
Syria,2011
Tajikistan,1999
Tanzania,2020
Thailand,2003
Togo,2022
Trinidad and Tobago,1999
Tunisia,2013
Turkey,1999
Uganda,1999
Ukraine,2014
United Kingdom,1999
Uzbekistan,1999
Venezuela,1999
Yemen,1999
